"T","Na","Na2","NaO","Na2O2","Na2SO4","O","O3","S","S2","S3","S4","S5","S6","S7","S8","SO","SO3","S2O","O2","SO2"
300.0,-119.88244426524281,-212.12573509641788,-178.65744237528142,-235.7733612911648,-125.79981282679448,-157.05840901034907,-242.43403995484957,-223.59506319246384,-280.2079080702953,-400.33378323601835,-520.1866272092849,-639.7588602635657,-751.4332004574535,-875.1508034006507,-990.4609660771516,-176.53251238546125,-148.61590362333794,-270.1325451092963,-120.57559144580311,-120.57559144580345
301.0,-119.45128435434708,-211.3567839381376,-178.01212979748294,-234.92420067448325,-125.33243165926073,-156.51259670194722,-241.59558693742275,-222.83165183487313,-279.24951615922487,-398.9743803371271,-518.4262348884624,-637.6204200683684,-748.9277337237816,-872.235444279246,-987.1649905036533,-175.91489150283277,-148.09922548059333,-269.2031501733045,-120.1444315349074,-120.14443153490775
302.0,-119.02299666142488,-210.59295319771923,-177.37111102457553,-234.08069524353897,-124.86818662190602,-155.97040346465798,-240.76271273379174,-222.07328983282633,-278.2974671640627,-397.6239658807435,-516.6774686527021,-635.4961053031956,-746.4388047211955,-869.3393282309876,-983.8907584761695,-175.30136823519223,-147.58599397868144,-268.2799129675813,-119.71614384198523,-119.71614384198561
303.0,-118.5975527570134,-209.83419220800926,-176.73434354392046,-233.24278899825816,-124.40704659558425,-155.43179348569677,-239.935362055894,-221.31992723545525,-277.3516983200037,-396.2824509421751,-514.9402135416884,-633.38577621354,-743.9662498926075,-866.462264911983,-980.638054990742,-174.69190202607498,-147.07617496363846,-267.3627725545751,-119.29069993757375,-119.29069993757417
304.0,-118.17492458489278,-209.08045096681457,-176.10178540169346,-232.41042667429872,-123.94898086931553,-154.89673142328985,-239.11348034270935,-220.57151474968902,-276.41214768901807,-394.94974776823284,-513.2143561091677,-631.2892948868267,-741.5099078360219,-863.6040664869133,-977.4066678762383,-174.0864528527766,-146.5697347298929,-266.45166879887006,-118.86807176545318,-118.86807176545365
305.0,-117.75508445599213,-208.33168012605122,-175.4733951937427,-231.58355373103237,-123.49395913366162,-154.36518239895503,-238.2970137483685,-219.8280037294409,-275.4787541462552,-393.6257697579592,-511.49978439804494,-629.2065252220934,-739.0696192690673,-860.7645475877371,-974.1963877477261,-173.48498121759292,-146.06664001295542,-265.54654235401733,-118.4482316365526,-118.44823163655312
306.0,-117.33800504241414,-207.5878309811035,-174.84913205662428,-230.76211633976007,-123.04195147423238,-153.83711198993365,-237.4859091304935,-219.08934616500753,-274.5514573667151,-392.31043144373666,-509.7963879159709,-627.1373329002683,-736.645226994226,-857.9435252732048,-971.0070079607676,-172.88744813923222,-145.56685798225135,-264.6473346496242,-118.03115222297464,-118.03115222297518
307.0,-116.9236593715759,-206.84885546039078,-174.22895565881348,-229.9460613721575,-122.59292836531347,-153.31248622177065,-236.68011403876585,-218.35549467267643,-273.630197812181,-391.0036484727662,-508.1040576114092,-625.0815853550308,-734.2365758647447,-855.1408189891742,-967.8383245666107,-172.2938151443956,-145.07035623409186,-263.7539878786963,-117.61680655213641,-117.616806552137
308.0,-116.51202082046333,-206.11470611513602,-173.61282619208652,-229.13533638894393,-122.14686066361914,-152.79127156103914,-235.87957670371603,-217.62640248453727,-272.7149167184091,-389.7053375889103,-506.4226858501731,-623.0391517442451,-731.8435127512196,-852.3562505297022,-964.6901362682639,-171.70404425952188,-144.57710278478146,-262.8664449852273,-117.2051680010239,-117.20516800102455
309.0,-116.10306310999658,-205.38533610933177,-173.000704363069,-228.3298896287704,-121.7037196021621,-152.27343490820607,-235.08424602572998,-216.90202343849137,-271.80555608256714,-388.4154166148889,-504.7521663924194,-621.0099029219526,-729.4658865088282,-849.5896439988969,-961.5622443774242,-171.11809800269288,-144.08706606385695,-261.98464965203016,-116.79621029055721,-116.79621029055791
310.0,-115.69676029950357,-204.66069920989898,-172.39255138494707,-227.52966999731998,-121.26347678424032,-151.75894359063608,-234.29407156426723,-216.18231196845565,-270.90205865091804,-387.1338044348231,-503.0923943700901,-618.9937114109081,-727.1035479452045,-846.8408257735141,-958.4544527722462,-170.5359393756955,-143.6002149074573,-261.10854628880435,-116.38990748006427,-116.38990748006503
311.0,-115.29308678129982,-203.94074977703417,-171.788328969339,-226.73462705662007,-120.82610417753953,-151.24776535573034,-233.50900352728686,-215.46722309475686,-270.00436790674246,-385.86042097711714,-501.443266264793,-616.9904513756511,-724.7563497889344,-844.1096244662788,-955.3665678559328,-169.95753185623818,-143.11651855181975,-260.23808002043404,-115.98623396186058,-115.9862339618614
312.0,-114.89201727537204,-203.22544275474206,-171.18799931832189,-225.94471101455667,-120.39157410834514,-150.73986836419724,-232.72899276087574,-214.75671241471048,-269.1124280584937,-384.59518719767044,-499.80467988610786,-614.9999985960959,-722.4241466586612,-841.3958708899162,-952.2983985161235,-169.38283939031598,-142.63594662690005,-259.3731966755115,-115.58516445593285,-115.58516445593375
313.0,-114.4935268241625,-202.5147336615476,-170.59152511661082,-225.15987271459,-119.9598592558635,-150.2352211834521,-231.95399073907427,-214.05073609338157,-268.22618402818205,-383.338025063415,-498.17653435031156,-613.022230441633,-720.1067950327891,-838.6993980218778,-949.2497560850674,-168.8118263847232,-142.1584691501136,-258.5138427750814,-115.1866740047234,-115.18667400472437
314.0,-114.09759078745341,-201.808578581385,-169.99886952388738,-224.3800636256646,-119.53093264665266,-149.73379278114282,-231.18394955389707,-213.34925085452335,-267.34558143998186,-382.0888575361671,-496.55873005951355,-611.057025845729,-717.8041532197666,-836.0200409697461,-946.2204543005658,-168.24445769970941,-141.68405652019635,-257.6599655216011,-114.7907379680144,-114.79073796801545
315.0,-113.70418483734758,-201.10693415465914,-169.40999616727385,-223.60523583231134,-119.10476764915336,-149.2355525187993,-230.41882190554216,-212.65221397168776,-266.4705666090554,-380.8476085567889,-494.95116868118674,-609.1042652810083,-715.516081328938,-833.3576369372995,-943.210309267654,-167.68069864177477,-141.21267951118014,-256.8115127881102,-114.39733201790864,-114.39733201790978
316.0,-113.31328495334378,-200.40975756947535,-168.82486913394953,-222.8353420249369,-118.68133796832575,-148.74047014560267,-229.65856109278533,-211.95958325950699,-265.6010865305921,-379.61420302965325,-493.35375312809356,-607.1638307348181,-713.2424412419572,-830.7120251912272,-940.2191394210253,-167.12051495660342,-140.7443092664826,-255.968433107608,-114.00643213390495,-114.00643213390617
317.0,-112.92486741750568,-199.71700655303488,-168.24345296390692,-222.07033549029444,-118.26061764038404,-148.2485157922733,-228.9031210035565,-211.2713170651399,-264.7370888690543,-378.3885668074027,-491.76638753859044,-605.2356056852526,-710.9830965847397,-828.0830470284807,-937.2467654881626,-166.56387282213012,-140.27891729310798,-255.1306756626315,-113.61801459806696,-113.61801459806827
